strategy,concurrency,op,duration_ms
single_saver_shared_pool,20,aput,41.858500000216736
single_saver_shared_pool,20,aput_writes,44.060499999886815
single_saver_shared_pool,20,aput,43.35480000008829
single_saver_shared_pool,20,aput_writes,45.587800000248535
single_saver_shared_pool,20,aput,47.048699999777455
single_saver_shared_pool,20,aput_writes,49.22370000031151
single_saver_shared_pool,20,aput,46.95559999981924
single_saver_shared_pool,20,aput_writes,49.136300000100164
single_saver_shared_pool,20,aput,48.46080000015718
single_saver_shared_pool,20,aput_writes,50.664799999594834
single_saver_shared_pool,20,aput,52.30269999992743
single_saver_shared_pool,20,aput_writes,54.89390000002459
single_saver_shared_pool,50,aget_tuple,7.755300000098941
single_saver_shared_pool,50,aget_tuple,11.985900000127003
single_saver_shared_pool,50,aget_tuple,15.293800000108604
single_saver_shared_pool,50,aget_tuple,17.768599999726575
single_saver_shared_pool,50,aget_tuple,20.273699999961536
single_saver_shared_pool,50,aget_tuple,22.48059999965335
single_saver_shared_pool,50,aget_tuple,25.39440000009563
single_saver_shared_pool,50,aget_tuple,27.406900000187306
single_saver_shared_pool,50,aget_tuple,29.741999999714608
single_saver_shared_pool,50,aget_tuple,32.289700000092125
single_saver_shared_pool,50,aget_tuple,34.45590000001175
single_saver_shared_pool,50,aget_tuple,37.0944999999665
single_saver_shared_pool,50,aget_tuple,39.0956000001097
single_saver_shared_pool,50,aget_tuple,41.10639999998966
single_saver_shared_pool,50,aget_tuple,43.61150000022462
single_saver_shared_pool,50,aget_tuple,45.961499999975786
single_saver_shared_pool,50,aget_tuple,48.38470000004236
single_saver_shared_pool,50,aget_tuple,50.691899999947054
single_saver_shared_pool,50,aget_tuple,53.68709999993371
single_saver_shared_pool,50,aget_tuple,55.960700000014185
single_saver_shared_pool,50,aget_tuple,58.06540000003224
single_saver_shared_pool,50,aget_tuple,60.36409999978787
single_saver_shared_pool,50,aget_tuple,62.49309999975594
single_saver_shared_pool,50,aget_tuple,65.07549999969342
single_saver_shared_pool,50,aget_tuple,67.81619999992472
single_saver_shared_pool,50,aget_tuple,70.00870000001669
single_saver_shared_pool,50,aget_tuple,72.33380000025136
single_saver_shared_pool,50,aget_tuple,74.77840000001379
single_saver_shared_pool,50,aget_tuple,78.19460000018807
single_saver_shared_pool,50,aget_tuple,80.74119999992035
single_saver_shared_pool,50,aget_tuple,83.68270000028133
single_saver_shared_pool,50,aget_tuple,85.9043999998903
single_saver_shared_pool,50,aget_tuple,88.70519999982207
single_saver_shared_pool,50,aget_tuple,90.93560000019352
single_saver_shared_pool,50,aget_tuple,93.46749999986059
single_saver_shared_pool,50,aget_tuple,95.80600000026607
single_saver_shared_pool,50,aget_tuple,98.12439999996059
single_saver_shared_pool,50,aget_tuple,100.64850000026127
single_saver_shared_pool,50,aget_tuple,103.41410000000906
single_saver_shared_pool,50,aget_tuple,105.75999999991836
single_saver_shared_pool,50,aget_tuple,108.02560000001904
single_saver_shared_pool,50,aget_tuple,110.28099999975893
single_saver_shared_pool,50,aget_tuple,112.50920000020415
single_saver_shared_pool,50,aget_tuple,115.2419000000009
single_saver_shared_pool,50,aget_tuple,117.76699999973061
single_saver_shared_pool,50,aget_tuple,120.14970000018366
single_saver_shared_pool,50,aget_tuple,122.20620000016424
single_saver_shared_pool,50,aget_tuple,124.64630000022225
single_saver_shared_pool,50,aget_tuple,126.91940000013346
single_saver_shared_pool,50,aget_tuple,129.7816999999668
single_saver_shared_pool,50,aput,136.87960000015664
single_saver_shared_pool,50,aput_writes,141.02890000003754
single_saver_shared_pool,50,aput,140.02010000012888
single_saver_shared_pool,50,aput_writes,143.7260999996397
single_saver_shared_pool,50,aput,143.94549999997253
single_saver_shared_pool,50,aput_writes,147.5652999997692
single_saver_shared_pool,50,aput,148.74490000011065
single_saver_shared_pool,50,aput_writes,152.38079999971887
single_saver_shared_pool,50,aput,153.10460000000603
single_saver_shared_pool,50,aput_writes,156.79699999964214
single_saver_shared_pool,50,aput,157.78580000005604
single_saver_shared_pool,50,aput_writes,161.41019999986383
single_saver_shared_pool,50,aput,161.7260999996688
single_saver_shared_pool,50,aput_writes,165.0179000002936
single_saver_shared_pool,50,aput,165.95450000022538
single_saver_shared_pool,50,aput_writes,169.61510000010094
single_saver_shared_pool,50,aput,170.75000000022555
single_saver_shared_pool,50,aput_writes,174.40159999978277
single_saver_shared_pool,50,aput,175.18550000022515
single_saver_shared_pool,50,aput_writes,178.71829999967304
single_saver_shared_pool,50,aput,179.70930000001317
single_saver_shared_pool,50,aput_writes,183.53979999983494
single_saver_shared_pool,50,aput,184.0729000000465
single_saver_shared_pool,50,aput_writes,188.25579999975162
single_saver_shared_pool,50,aput,189.0638999998373
single_saver_shared_pool,50,aput_writes,193.07460000027277
single_saver_shared_pool,50,aput,194.22420000000784
single_saver_shared_pool,50,aput_writes,197.7443000000676
single_saver_shared_pool,50,aput,198.67650000014692
single_saver_shared_pool,50,aput_writes,202.16690000006565
single_saver_shared_pool,50,aput,203.18219999990106
single_saver_shared_pool,50,aput_writes,206.55119999992166
single_saver_shared_pool,50,aput,207.48719999983223
single_saver_shared_pool,50,aput_writes,212.20549999998184
single_saver_shared_pool,50,aput,212.94170000010126
single_saver_shared_pool,50,aput_writes,216.14660000022923
single_saver_shared_pool,50,aput,216.68170000020837
single_saver_shared_pool,50,aput_writes,219.3569999999454
single_saver_shared_pool,50,aput,219.58790000007866
single_saver_shared_pool,50,aput_writes,224.2921000001843
